Designator,Footprint,Quantity,Value,LCSC Part #,
"IC17, IC24",DIP-28_W15.24mm,2,AT28C64B-15PU,,
IC18,DIP-16_W7.62mm_Socket_LongPads,1,SN74HC139AN,,
"IC2, IC49",DIP-16_W7.62mm_Socket_LongPads,2,SN74HC367N,,
IC23,DIP-20_W7.62mm_LongPads,1,CD74HC245E,,
IC25,DIP-16_W7.62mm_LongPads,1,SN74HC138N,,
IC27,DIP-14_W7.62mm_LongPads,1,SN74HC32N,,
IC28,DIP-14_W7.62mm_LongPads,1,SN74HC00N,,
"IC29, IC4, IC62",DIP-14_W7.62mm_Socket_LongPads,3,SN74HC04N,,
"IC3, 30",DIP-14_W7.62mm_LongPads,2,SN74HC02AN,,
IC31,DIP-20_W7.62mm_Socket,1,SN74HC273N,,
IC32,DIP-16_W7.62mm_Socket_LongPads,1,SN74HC138N,,
IC56,DIP-16_W7.62mm_Socket_LongPads,1,CD74HC161E,,
LED1,1206,19,XZMDKVG55W-8,,Green
"R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R160",,19,RMCF1206FT90R9,,90
XTAL2,Crystal_HC49-4H_Vertical,1,ECS-160-20-1X,,16Mhz
